species,date,geartype,sex,inches,grams,age,agestruct
BG,4/15/1999,BOOM SHOCKER,NA,4,15,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,4,16,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,4,16,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,4,17,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,4,18,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,4,18,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,4,NA,NA,NA
BG,3/31/1999,FYKE NET,NA,4.1,17,2,SCALE
BG,4/1/1999,FYKE NET,NA,4.1,17,2,SCALE
BG,4/5/1999,FYKE NET,NA,4.1,17,NA,NA
BG,3/31/1999,FYKE NET,NA,4.1,19,2,SCALE
BG,4/5/1999,FYKE NET,NA,4.1,19,NA,NA
BG,4/5/1999,FYKE NET,NA,4.1,19,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,4.1,19,NA,NA
BG,4/1/1999,FYKE NET,NA,4.1,21,3,SCALE
BG,4/1/1999,FYKE NET,NA,4.1,NA,NA,NA
BG,4/1/1999,FYKE NET,NA,4.1,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,4.1,NA,NA,NA
BG,4/7/1999,FYKE NET,NA,4.2,16,3,SCALE
BG,4/15/1999,BOOM SHOCKER,NA,4.2,17,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,4.2,17,NA,NA
